YYYY-MM-DD,HH:MM:SS.ssssss,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,HZ,VA,
ttyS3, 2021-05-18 19:00:32.015195,35.9,122.9,0.313,1.3,0,2731.2,7.101,47.8,123.2,0.498,34.4,122.5,0.27,89,0,0,60,401, 
ttyS3, 2021-05-18 19:00:33.015195,35.6,122.3,0.369,2.7,0,2717.6,7.065,46.8,123.1,0.482,35.5,122.1,0.272,90,0,0,60,393, 
ttyS3, 2021-05-18 19:00:34.015195,46.1,122.2,0.413,4.1,0.001,2733.9,7.108,53.3,122.5,0.536,33,121.9,0.271,91,0,0,60,506, 
ttyS3, 2021-05-18 19:00:35.015195,42,122.2,0.419,5.8,0.001,2870.4,7.463,93.4,122.6,1.228,32.3,122,0.255,88,0,0,59.9,477, 
ttyS3, 2021-05-18 19:00:36.015195,48.9,122.2,0.382,7,0.001,2820.6,7.333,48.9,122.5,0.55,32.5,122,0.255,89,0,0,60,548, 
ttyS3, 2021-05-18 19:00:37.015195,37.6,122.2,0.315,8.3,0.002,2787.1,7.246,48.9,122.4,0.476,32.6,121.9,0.257,98,0,0,60,383, 
ttyS3, 2021-05-18 19:00:38.015195,33.5,122,0.332,9.6,0.002,2758.2,7.171,47.2,122.4,0.463,32.5,121.9,0.26,85,0,0,60,393, 
ttyS3, 2021-05-18 19:00:39.015195,20.3,122,0.152,10.6,0.002,2672.1,6.947,42.1,122.3,0.443,18.8,121.7,0.114,100,0,0,59.9,203, 
ttyS3, 2021-05-18 19:00:40.015195,19,122.1,0.174,11.4,0.002,2543.1,6.612,29.1,122.2,0.297,18.9,121.7,0.114,100,0,0,60,190, 
ttyS3, 2021-05-18 19:00:41.015195,29.8,121.9,0.218,12.4,0.003,2499.5,6.498,45.7,122.2,0.422,19,121.6,0.111,95,0,0,59.9,312, 
ttyS3, 2021-05-18 19:00:42.015195,29.4,121.9,0.254,13.5,0.003,2470.6,6.423,40,122.1,0.386,27.5,121.5,0.179,100,0,0,60,294, 
ttyS3, 2021-05-18 19:00:43.015195,29.4,122,0.268,14.6,0.003,2450.1,6.37,40.9,122.2,0.398,28,121.6,0.177,100,0,0,60,294, 
ttyS3, 2021-05-18 19:00:44.015195,29,121.9,0.187,15.7,0.004,2429.2,6.316,36.1,122.2,0.364,28.1,121.5,0.175,100,0,0,59.9,290, 
ttyS3, 2021-05-18 19:00:45.015195,35.4,122.1,0.278,16.7,0.004,2404.3,6.251,38.5,122.1,0.375,26,121.5,0.156,100,0,0,60,354, 
ttyS3, 2021-05-18 19:00:46.015195,32,121.9,0.217,17.7,0.004,2387.9,6.208,40,122.2,0.353,27.7,121.8,0.178,100,0,0,60,320, 
ttyS3, 2021-05-18 19:00:47.015195,29.5,121.8,0.2,18.8,0.004,2376,6.177,42.3,122.2,0.427,28,121.6,0.181,100,0,0,60,295, 
ttyS3, 2021-05-18 19:00:48.015195,28.2,122.1,0.223,19.9,0.005,2366,6.151,41.9,122.5,0.398,27.2,121.3,0.189,98,0,0,60,286, 
ttyS3, 2021-05-18 19:00:49.015195,21.8,122.4,0.156,20.9,0.005,2347.1,6.102,37,122.6,0.366,18.7,121.9,0.125,100,0,0,60,218, 
ttyS3, 2021-05-18 19:00:50.015195,20.1,122.2,0.133,21.7,0.005,2306.5,5.997,33.9,122.5,0.368,18.9,121.9,0.12,100,0,0,59.9,201, 
ttyS3, 2021-05-18 19:00:51.015195,19.6,122.3,0.163,22.5,0.005,2268.9,5.899,34,122.5,0.321,19,121.9,0.116,100,0,0,60,196, 
ttyS3, 2021-05-18 19:00:52.015195,19.5,122.2,0.155,23.2,0.006,2232.2,5.803,31.3,122.6,0.324,18.6,122,0.112,100,0,0,60,195, 
ttyS3, 2021-05-18 19:00:53.015195,18.8,122.2,0.154,23.9,0.006,2199.4,5.718,31.2,122.6,0.347,18.6,121.9,0.114,100,0,0,60,188, 
ttyS3, 2021-05-18 19:00:54.015195,22.2,122.2,0.187,24.7,0.006,2168.9,5.639,30.4,122.5,0.368,18.6,121.8,0.112,100,0,0,59.9,222, 
ttyS3, 2021-05-18 19:00:55.015195,19.2,121.9,0.153,25.5,0.006,2146.2,5.58,38.5,122.3,0.388,18.7,121.8,0.116,100,0,0,60,192, 
ttyS3, 2021-05-18 19:00:56.015195,22.8,121.8,0.191,26.3,0.006,2129.1,5.535,34.8,122.2,0.333,19.2,121.6,0.119,97,0,0,60,233, 
ttyS3, 2021-05-18 19:00:57.015195,22.2,121.7,0.152,27.1,0.007,2110.4,5.487,31.5,122.2,0.34,20,121.6,0.129,100,0,0,60,222, 
ttyS3, 2021-05-18 19:00:58.015195,21.2,121.8,0.171,27.9,0.007,2092,5.439,31.5,122.1,0.339,20,121.6,0.135,100,0,0,60,212, 
ttyS3, 2021-05-18 19:00:59.015195,20.8,121.8,0.192,28.8,0.007,2076.7,5.399,36.1,122.2,0.383,20.2,121.4,0.135,100,0,0,59.9,208, 
ttyS3, 2021-05-18 19:01:00.015195,20.6,121.9,0.185,29.6,0.007,2065.8,5.371,35.7,122,0.35,20.2,121.3,0.135,100,0,0,59.9,206, 
ttyS3, 2021-05-18 19:01:01.015195,34.4,121.9,0.246,30.5,0.007,2053.2,5.338,43.1,122.2,0.418,20.3,121.6,0.133,100,0,0,59.9,344, 
ttyS3, 2021-05-18 19:01:02.015195,30.5,121.6,0.264,31.3,0.008,2041.6,5.308,34.4,122.2,0.348,20.4,121.4,0.13,100,0,0,60,305, 
ttyS3, 2021-05-18 19:01:03.015195,22.2,121.5,0.155,32.1,0.008,2028.2,5.273,31.1,122.1,0.321,20.2,121.4,0.133,100,0,0,59.9,222, 
ttyS3, 2021-05-18 19:01:04.015195,21.5,122,0.155,32.9,0.008,2016.7,5.243,32.7,122.2,0.432,19.4,121.4,0.136,93,0,0,60.1,231, 
ttyS3, 2021-05-18 19:01:05.015195,21.6,122.1,0.17,33.7,0.008,2005.4,5.214,37.2,122.2,0.34,20.2,121.3,0.134,99,0,0,60,217, 
ttyS3, 2021-05-18 19:01:06.015195,20.8,121.5,0.172,34.5,0.008,1994.3,5.185,34.7,122.1,0.37,20.3,121.4,0.134,100,0,0,59.9,208, 
ttyS3, 2021-05-18 19:01:07.015195,20.6,121.6,0.146,35.3,0.009,1983.1,5.156,36.6,121.8,0.341,19.6,121.3,0.131,100,0,0,60.1,206, 
ttyS3, 2021-05-18 19:01:08.015195,21.2,122.1,0.182,36.1,0.009,1972.9,5.129,32.3,122.4,0.31,20.2,121.2,0.134,100,0,0,60,212, 
ttyS3, 2021-05-18 19:01:09.015195,31.1,122.1,0.319,36.9,0.009,1965.4,5.11,36.1,122.3,0.355,19.8,121.9,0.134,98,0,0,60,317, 
ttyS3, 2021-05-18 19:01:10.015195,36.1,121.8,0.317,37.7,0.009,1957.4,5.089,36.1,122.4,0.327,20.3,121.6,0.134,97,0,0,60.1,370, 
ttyS3, 2021-05-18 19:01:11.015195,21.3,121.9,0.165,38.6,0.01,1950.4,5.071,36.2,122.1,0.331,20.5,121.6,0.135,100,0,0,60,213, 
ttyS3, 2021-05-18 19:01:12.015195,35.6,121.9,0.355,39.9,0.01,1966.8,5.113,53.5,122.1,0.558,21.3,121.6,0.141,88,0,0,60.1,404, 
ttyS3, 2021-05-18 19:01:13.015195,34,121.7,0.319,41.2,0.01,1982.3,5.154,54.9,122.1,0.556,33.2,120.4,0.267,85,0,0,60,396, 
ttyS3, 2021-05-18 19:01:14.015195,36.1,121.5,0.357,42.4,0.011,1996.8,5.191,44.6,121.9,0.49,32.3,120.9,0.267,89,0,0,60.1,404, 
ttyS3, 2021-05-18 19:01:15.015195,36.2,121.5,0.348,43.8,0.011,2013.4,5.235,55.5,122,0.574,32.9,121.4,0.266,94,0,0,60.1,385, 
ttyS3, 2021-05-18 19:01:16.015195,33.4,121.4,0.304,45.1,0.011,2026.6,5.269,47.4,121.7,0.495,32.3,121.3,0.266,86,0,0,60,388, 
ttyS3, 2021-05-18 19:01:17.015195,35.1,121.5,0.319,46.3,0.012,2038.1,5.299,44.8,122,0.489,31.3,121,0.267,88,0,0,60.1,396, 
ttyS3, 2021-05-18 19:01:18.015195,19,121.8,0.124,47.5,0.012,2044.3,5.315,52.1,121.9,0.541,19,121.4,0.115,100,0,0,60,190, 
ttyS3, 2021-05-18 19:01:19.015195,20.2,121.6,0.18,48.2,0.012,2033.5,5.287,33.4,121.9,0.328,18.5,121.2,0.114,100,0,0,60,202, 
ttyS3, 2021-05-18 19:01:20.015195,20.1,121.2,0.147,49,0.012,2023.3,5.26,34.5,121.9,0.392,18.1,121,0.11,100,0,0,59.9,201, 
ttyS3, 2021-05-18 19:01:21.015195,19.1,121.1,0.154,49.7,0.012,2012.5,5.232,33.8,121.5,0.353,18.3,120.7,0.108,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:01:22.015195,19,121.6,0.135,50.5,0.013,2004,5.21,39.7,121.7,0.384,18.4,120.8,0.114,100,0,0,60,190, 
ttyS3, 2021-05-18 19:01:23.015195,18.5,121.3,0.162,51.3,0.013,1994.1,5.184,35.9,121.7,0.38,18.3,121.2,0.113,100,0,0,60,0, 
ttyS3, 2021-05-18 19:01:24.015195,28.7,121.4,0.238,52,0.013,1984.5,5.159,29.9,121.7,0.357,18.2,121.2,0.112,100,0,0,60.1,287, 
ttyS3, 2021-05-18 19:01:25.015195,20.2,121.2,0.214,52.8,0.013,1977.9,5.142,31.6,121.6,0.354,18.5,120.9,0.11,100,0,0,60.1,202, 
ttyS3, 2021-05-18 19:01:26.015195,19.6,121.2,0.147,53.5,0.013,1969.4,5.12,31.9,121.4,0.322,18.5,121,0.109,92,0,0,60.1,212, 
ttyS3, 2021-05-18 19:01:27.015195,22.3,121.4,0.138,54.3,0.014,1961.5,5.1,30.8,121.8,0.316,18.1,121.2,0.109,100,0,0,60.1,223, 
ttyS3, 2021-05-18 19:01:28.015195,19.8,121.5,0.221,55.1,0.014,1956.1,5.085,35.6,121.6,0.468,17.9,121.2,0.107,99,0,0,60.1,199, 
ttyS3, 2021-05-18 19:01:29.015195,19.4,121.2,0.187,55.8,0.014,1948.1,5.065,31.9,121.7,0.352,18.1,121.2,0.107,100,0,0,60.1,194, 
ttyS3, 2021-05-18 19:01:30.015195,19.2,121.5,0.148,56.6,0.014,1940.8,5.046,30.2,121.7,0.31,17.9,121.2,0.105,100,0,0,60.1,192, 
ttyS3, 2021-05-18 19:01:31.015195,18.5,121.6,0.126,57.3,0.014,1933.1,5.026,32.7,121.7,0.323,18.5,121.2,0.105,100,0,0,60.1,185, 
ttyS3, 2021-05-18 19:01:32.015195,30.3,121.6,0.222,58.1,0.015,1926.4,5.008,31.1,121.8,0.316,18.3,121.3,0.11,100,0,0,60.1,303, 
ttyS3, 2021-05-18 19:01:33.015195,20.8,121.5,0.192,58.9,0.015,1921,4.994,31.3,121.8,0.32,18.6,121.2,0.109,92,0,0,60.1,225, 
ttyS3, 2021-05-18 19:01:34.015195,23.4,121.6,0.131,59.6,0.015,1914.4,4.977,31,121.8,0.303,17.7,121.2,0.111,100,0,0,60,0, 
ttyS3, 2021-05-18 19:01:35.015195,18.5,121.9,0.126,60.3,0.015,1907.9,4.96,33.2,122.1,0.344,18.2,121.3,0.109,100,0,0,60.1,0, 
ttyS3, 2021-05-18 19:01:36.015195,18.3,121.7,0.15,61.1,0.015,1901,4.942,30.7,122.3,0.326,17.3,121.6,0.107,100,0,0,60.1,183, 
ttyS3, 2021-05-18 19:01:37.015195,17.2,121.6,0.132,61.8,0.016,1894.6,4.925,30.1,121.8,0.366,17.1,121.3,0.108,100,0,0,60.1,172, 
ttyS3, 2021-05-18 19:01:38.015195,29.3,121.7,0.243,62.6,0.016,1889.5,4.912,35.7,122,0.325,17.2,121.5,0.107,98,0,0,60.1,296, 
ttyS3, 2021-05-18 19:01:39.015195,33.3,121.6,0.251,63.3,0.016,1884.5,4.899,38.5,122,0.385,17.9,121.5,0.108,95,0,0,60.1,349, 
ttyS3, 2021-05-18 19:01:40.015195,19.3,121.7,0.135,64.1,0.016,1879.1,4.885,33.4,121.9,0.327,18.5,121.4,0.103,100,0,0,60.1,193, 
ttyS3, 2021-05-18 19:01:41.015195,22.2,121.7,0.189,64.8,0.016,1873.8,4.872,34.1,121.9,0.359,18.5,121.5,0.107,100,0,0,60.1,222, 
ttyS3, 2021-05-18 19:01:42.015195,19.8,121.8,0.153,65.6,0.017,1868.4,4.858,36.6,122,0.357,17.5,121.5,0.107,100,0,0,60,198, 
ttyS3, 2021-05-18 19:01:43.015195,25.5,121.8,0.187,66.3,0.017,1863.2,4.844,29.4,122,0.327,18.4,121.5,0.106,88,0,0,60.1,288, 
ttyS3, 2021-05-18 19:01:44.015195,18.1,121.7,0.151,67,0.017,1857.9,4.83,30.8,122,0.301,17.7,121.5,0.108,100,0,0,60,181, 
ttyS3, 2021-05-18 19:01:45.015195,27,121.7,0.248,67.7,0.017,1852.8,4.817,28.6,122,0.287,18.1,119.9,0.112,95,0,0,60.1,283, 
ttyS3, 2021-05-18 19:01:46.015195,30.2,121.7,0.239,68.5,0.017,1848.5,4.806,31.3,122,0.327,18.1,121.5,0.112,100,0,0,60.1,302, 
ttyS3, 2021-05-18 19:01:47.015195,18.9,121.8,0.159,69.3,0.018,1844.5,4.795,33.4,121.9,0.339,17.1,121.4,0.109,100,0,0,59.9,0, 
ttyS3, 2021-05-18 19:01:48.015195,18.3,121.9,0.121,70,0.018,1839.7,4.783,30.4,122.3,0.342,17.5,121.6,0.109,100,0,0,60.1,183, 
ttyS3, 2021-05-18 19:01:49.015195,19.7,121.9,0.222,70.8,0.018,1836.2,4.774,33.8,122,0.312,17.7,121.6,0.109,86,0,0,60,228, 
ttyS3, 2021-05-18 19:01:50.015195,19.5,122.1,0.13,71.5,0.018,1831.7,4.762,32.4,122.2,0.33,18.5,121.6,0.109,100,0,0,60.1,195, 
ttyS3, 2021-05-18 19:01:51.015195,18.8,121.6,0.146,72.2,0.018,1827.2,4.75,33.2,122.2,0.347,18.1,121.5,0.109,100,0,0,60,188, 
ttyS3, 2021-05-18 19:01:52.015195,19,121.8,0.165,72.9,0.018,1822.6,4.738,30.2,122,0.3,18.2,121.4,0.106,100,0,0,60,190, 
ttyS3, 2021-05-18 19:01:53.015195,25.4,121.6,0.251,73.7,0.019,1818.9,4.729,29,122.2,0.305,17.3,121.5,0.115,87,0,0,60,291, 
ttyS3, 2021-05-18 19:01:54.015195,28.8,121.8,0.239,74.5,0.019,1815.7,4.72,35.3,121.9,0.327,18.1,121.4,0.109,100,0,0,60,288, 
ttyS3, 2021-05-18 19:01:55.015195,18.8,121.9,0.133,75.2,0.019,1812.2,4.711,31.3,122.2,0.319,18.5,121.6,0.11,100,0,0,60,188, 
ttyS3, 2021-05-18 19:01:56.015195,19.4,121.9,0.221,76,0.019,1810.4,4.707,40.4,122.3,0.362,18.3,121.7,0.11,91,0,0,60.1,212, 
ttyS3, 2021-05-18 19:01:57.015195,20.6,122.3,0.17,76.8,0.019,1806.7,4.697,32.5,122.4,0.327,18.5,121.8,0.112,95,0,0,60,215, 
ttyS3, 2021-05-18 19:01:58.015195,17.8,121.9,0.136,77.6,0.02,1804.5,4.691,33.8,122.4,0.359,17.5,121.8,0.111,97,0,0,60,183, 
ttyS3, 2021-05-18 19:01:59.015195,19.6,122,0.149,78.3,0.02,1800.8,4.682,32.5,122.3,0.311,17.8,121.7,0.111,100,0,0,60,196, 
ttyS3, 2021-05-18 19:02:00.015195,19.1,122.2,0.14,79,0.02,1797.3,4.673,36.4,122.3,0.338,18.6,121.9,0.114,100,0,0,60,191, 
ttyS3, 2021-05-18 19:02:01.015195,26.2,121.9,0.218,79.8,0.02,1794.5,4.665,33.8,122.4,0.348,18.5,121.7,0.11,100,0,0,60,262, 
ttyS3, 2021-05-18 19:02:02.015195,18.9,122,0.145,80.5,0.02,1791.2,4.657,33.1,122.3,0.327,17.7,121.8,0.11,100,0,0,60,189, 
ttyS3, 2021-05-18 19:02:03.015195,28.9,122,0.213,81.3,0.021,1788.7,4.65,33.4,122.2,0.344,18.1,121.7,0.115,100,0,0,60,289, 
ttyS3, 2021-05-18 19:02:04.015195,21.9,121.2,0.181,82,0.021,1785.4,4.642,29.6,122.2,0.313,17.7,121,0.109,90,0,0,60,241, 
ttyS3, 2021-05-18 19:02:05.015195,18.7,122.1,0.135,82.8,0.021,1782.3,4.634,35.3,122.2,0.35,18.5,121.1,0.114,100,0,0,60,187, 
ttyS3, 2021-05-18 19:02:06.015195,19.1,122.1,0.148,83.5,0.021,1779,4.625,34.2,122.2,0.331,17.7,121.8,0.114,100,0,0,60,191, 
ttyS3, 2021-05-18 19:02:07.015195,18.9,122.1,0.145,84.2,0.021,1776.2,4.618,32.3,122.3,0.314,18.1,121.9,0.109,100,0,0,60.1,189, 
ttyS3, 2021-05-18 19:02:08.015195,28.6,122,0.248,85,0.022,1773.6,4.611,34.5,122.3,0.345,17.9,121.8,0.112,100,0,0,60,286, 
ttyS3, 2021-05-18 19:02:09.015195,29,122.1,0.162,85.7,0.022,1771.2,4.605,29.2,122.3,0.31,18.1,121.8,0.115,98,0,0,60.1,294, 
ttyS3, 2021-05-18 19:02:10.015195,18.4,122.1,0.139,86.5,0.022,1768.9,4.599,30.2,122.3,0.321,18.3,121.9,0.111,100,0,0,60,184, 
ttyS3, 2021-05-18 19:02:11.015195,19.6,121.9,0.157,87.2,0.022,1766.1,4.591,29.4,122.3,0.303,18.4,121.7,0.108,93,0,0,60,0, 
ttyS3, 2021-05-18 19:02:12.015195,30.9,121.8,0.213,88,0.022,1763.8,4.586,33,122.2,0.327,17.9,121.7,0.113,100,0,0,60,309, 
ttyS3, 2021-05-18 19:02:13.015195,29.8,122.2,0.223,88.8,0.023,1761.3,4.579,31.5,122.3,0.308,17.9,121.7,0.113,100,0,0,60,298, 
ttyS3, 2021-05-18 19:02:14.015195,18.8,122.1,0.149,89.5,0.023,1758.7,4.572,31.4,122.4,0.335,18.6,121.8,0.111,100,0,0,60,188, 
ttyS3, 2021-05-18 19:02:15.015195,18.9,122.2,0.133,90.2,0.023,1756.4,4.566,33,122.3,0.312,17.9,121.9,0.111,100,0,0,60.1,189, 
ttyS3, 2021-05-18 19:02:16.015195,19.2,122.1,0.179,91,0.023,1754,4.56,35.3,122.4,0.327,18.6,121.9,0.114,100,0,0,60.1,192, 
ttyS3, 2021-05-18 19:02:17.015195,25.1,122.2,0.266,91.8,0.023,1752.7,4.557,35.5,122.4,0.344,18.5,121.9,0.109,100,0,0,60.1,251, 
ttyS3, 2021-05-18 19:02:18.015195,18.1,122.5,0.141,92.6,0.024,1751,4.552,32.7,122.7,0.352,18.1,121.9,0.11,95,0,0,60.1,189, 
ttyS3, 2021-05-18 19:02:19.015195,17.8,122.5,0.136,93.3,0.024,1748.4,4.546,31.3,122.6,0.331,17.5,122.1,0.109,88,0,0,60.1,202, 
ttyS3, 2021-05-18 19:02:20.015195,19.7,122.6,0.179,94,0.024,1746.7,4.541,31.9,122.7,0.337,17.5,122.1,0.111,100,0,0,60.1,197, 
ttyS3, 2021-05-18 19:02:21.015195,19.1,122.5,0.128,94.8,0.024,1744.4,4.535,31.3,122.7,0.335,18.5,122.3,0.111,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:02:22.015195,21,122.7,0.221,95.5,0.024,1742.1,4.529,34.5,122.8,0.341,18.3,122.1,0.11,88,0,0,60.1,238, 
ttyS3, 2021-05-18 19:02:23.015195,20.8,122.3,0.149,96.3,0.025,1740.8,4.526,35.9,122.8,0.318,17.5,122.1,0.11,100,0,0,60.1,208, 
ttyS3, 2021-05-18 19:02:24.015195,20.2,122.4,0.184,97.1,0.025,1739,4.521,37.2,122.7,0.375,18.4,122.2,0.109,93,0,0,60.1,217, 
ttyS3, 2021-05-18 19:02:25.015195,19.8,121.9,0.135,97.8,0.025,1737.7,4.518,35.3,122.7,0.352,18.1,121.7,0.111,100,0,0,60.1,198, 
ttyS3, 2021-05-18 19:02:26.015195,31.7,122.2,0.257,98.6,0.025,1736.5,4.515,40.2,122.3,0.417,18.4,121.8,0.112,100,0,0,60.1,317, 
ttyS3, 2021-05-18 19:02:27.015195,22.7,122,0.144,99.5,0.025,1736.5,4.515,36.1,122.2,0.406,20.9,121.7,0.112,100,0,0,60.1,227, 
ttyS3, 2021-05-18 19:02:28.015195,21.1,122.2,0.129,100.3,0.026,1736,4.513,35.7,122.2,0.346,20.5,121.8,0.115,100,0,0,60.1,211, 
ttyS3, 2021-05-18 19:02:29.015195,19.1,121.8,0.168,101.1,0.026,1734.7,4.51,43.1,122.3,0.418,18.7,121.5,0.114,100,0,0,60,191, 
ttyS3, 2021-05-18 19:02:30.015195,19.3,121.9,0.15,101.8,0.026,1732.5,4.504,31,122.1,0.333,17.7,121.7,0.115,93,0,0,60,0, 
ttyS3, 2021-05-18 19:02:31.015195,18.5,121.8,0.136,102.6,0.026,1730.7,4.499,32.8,122.2,0.308,17.1,121.6,0.115,100,0,0,60,185, 
ttyS3, 2021-05-18 19:02:32.015195,18.6,122,0.136,103.4,0.026,1729,4.495,32.8,122.2,0.332,18,121.7,0.111,100,0,0,60,186, 
ttyS3, 2021-05-18 19:02:33.015195,27.7,121.8,0.26,104.1,0.027,1727.5,4.491,33.2,122.1,0.316,18.4,121.6,0.113,96,0,0,60.1,0, 
ttyS3, 2021-05-18 19:02:34.015195,21.4,122.1,0.157,104.9,0.027,1726.2,4.488,34.9,122.2,0.327,18.6,121.7,0.114,100,0,0,60.1,214, 
ttyS3, 2021-05-18 19:02:35.015195,22.7,122.1,0.167,105.6,0.027,1724.5,4.483,32.3,122.3,0.405,17.3,121.7,0.114,100,0,0,60.1,227, 
ttyS3, 2021-05-18 19:02:36.015195,19,122,0.16,106.4,0.027,1722.6,4.478,34.7,122.3,0.34,18.6,121.8,0.114,100,0,0,60.1,190, 
ttyS3, 2021-05-18 19:02:37.015195,19.1,121.7,0.148,107.1,0.027,1720.6,4.473,30.6,122.1,0.307,18.2,121.6,0.108,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:02:38.015195,19.1,122,0.146,107.8,0.028,1719,4.469,38.1,122.1,0.371,18.2,121.6,0.111,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:02:39.015195,25.3,121.8,0.219,108.6,0.028,1716.9,4.464,29.3,122.3,0.335,18.3,121.7,0.113,100,0,0,60.1,253, 
ttyS3, 2021-05-18 19:02:40.015195,20.6,121.9,0.238,109.3,0.028,1715.1,4.459,33.4,122,0.315,17.7,121.6,0.113,99,0,0,60.1,207, 
ttyS3, 2021-05-18 19:02:41.015195,18.8,121.9,0.134,110,0.028,1713.4,4.454,30.4,122.1,0.386,18.5,121.5,0.113,100,0,0,60.1,188, 
ttyS3, 2021-05-18 19:02:42.015195,23.2,121.8,0.15,110.8,0.028,1711.9,4.45,30.8,122.1,0.299,18.3,121.6,0.114,100,0,0,60.1,232, 
ttyS3, 2021-05-18 19:02:43.015195,20.5,122.1,0.158,111.5,0.029,1710.5,4.447,33.8,122.1,0.324,18.6,121.6,0.116,100,0,0,60.1,205, 
ttyS3, 2021-05-18 19:02:44.015195,19.1,122.1,0.141,112.3,0.029,1708.7,4.442,35.3,122.2,0.326,18.5,121.7,0.112,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:02:45.015195,29.3,121.8,0.236,113.1,0.029,1708,4.44,34.4,122.2,0.322,17.9,121.5,0.113,99,0,0,60.1,294, 
ttyS3, 2021-05-18 19:02:46.015195,18.8,121.8,0.151,113.8,0.029,1706.4,4.436,31,122,0.308,18.3,121.5,0.111,99,0,0,60.1,189, 
ttyS3, 2021-05-18 19:02:47.015195,20.2,121.8,0.124,114.5,0.029,1704.8,4.432,31.6,122.1,0.316,17.7,121.6,0.112,100,0,0,60.1,202, 
ttyS3, 2021-05-18 19:02:48.015195,18.8,122.3,0.161,115.2,0.029,1703.1,4.428,34.5,122.4,0.327,18.3,121.7,0.114,100,0,0,60.1,188, 
ttyS3, 2021-05-18 19:02:49.015195,42.1,122.4,0.406,116.9,0.03,1709.3,4.444,53.5,122.5,0.528,18.4,122,0.12,91,0,0,60.1,462, 
ttyS3, 2021-05-18 19:02:50.015195,36.9,122.3,0.326,118.3,0.03,1717.8,4.466,55,122.4,0.547,33.6,121.9,0.279,93,0,0,60,0, 
ttyS3, 2021-05-18 19:02:51.015195,34,122,0.279,119.7,0.031,1724.4,4.483,51.4,122.3,0.524,32.5,121.9,0.262,94,0,0,60.1,359, 
ttyS3, 2021-05-18 19:02:52.015195,45.1,122.1,0.423,120.9,0.031,1730.2,4.498,46.7,122.5,0.499,31.5,121.8,0.254,98,0,0,60.1,456, 
ttyS3, 2021-05-18 19:02:53.015195,41.9,122.1,0.418,122.1,0.031,1735.6,4.512,51,122.4,0.503,31.7,122,0.253,87,0,0,60,480, 
ttyS3, 2021-05-18 19:02:54.015195,48.3,122.4,0.427,123.4,0.032,1741.1,4.527,49.7,122.5,0.491,31.6,122,0.249,89,0,0,60.1,538, 
ttyS3, 2021-05-18 19:02:55.015195,37.9,122.4,0.294,124.8,0.032,1748.9,4.547,76.5,122.5,0.871,31.9,122.1,0.255,87,0,0,60.1,433, 
ttyS3, 2021-05-18 19:02:56.015195,58.9,122.4,0.534,126.2,0.032,1756.4,4.566,61.4,122.6,0.574,32.7,122.1,0.265,91,0,0,60,644, 
ttyS3, 2021-05-18 19:02:57.015195,23.4,122.4,0.139,127.3,0.033,1759.7,4.575,58.9,122.7,0.562,18.8,122.2,0.117,100,0,0,60.1,234, 
ttyS3, 2021-05-18 19:02:58.015195,19.2,122.4,0.198,128.1,0.033,1758,4.57,30.6,122.7,0.31,18.9,122.1,0.114,100,0,0,60.1,192, 
ttyS3, 2021-05-18 19:02:59.015195,19,122.1,0.151,128.8,0.033,1756.2,4.566,33.2,122.8,0.36,18.3,121.7,0.115,83,0,0,60.1,228, 
ttyS3, 2021-05-18 19:03:00.015195,18.8,122,0.168,129.5,0.033,1754.3,4.561,30.4,122.2,0.294,18.1,121.7,0.113,100,0,0,60.1,188, 
ttyS3, 2021-05-18 19:03:01.015195,19.1,121.8,0.133,130.3,0.033,1752.8,4.557,34.9,122.3,0.336,18.1,121.7,0.114,100,0,0,60.1,191, 
ttyS3, 2021-05-18 19:03:02.015195,19,122.1,0.141,131,0.034,1750.9,4.552,34.2,122.2,0.307,17.9,121.7,0.114,100,0,0,60.1,190, 
ttyS3, 2021-05-18 19:03:03.015195,19.8,122.2,0.144,131.8,0.034,1749.4,4.548,35.1,123.2,0.325,18.4,121.9,0.115,100,0,0,60.1,198, 
ttyS3, 2021-05-18 19:03:04.015195,19.7,122.2,0.129,132.5,0.034,1747.5,4.543,35.9,122.3,0.323,18.3,121.9,0.112,100,0,0,60.1,197, 
ttyS3, 2021-05-18 19:03:05.015195,21.5,122.1,0.143,133.2,0.034,1745.9,4.539,29.8,122.4,0.299,18.4,122,0.114,100,0,0,60.1,215, 
ttyS3, 2021-05-18 19:03:06.015195,19.4,122.2,0.14,133.9,0.034,1744.2,4.535,36.4,122.4,0.343,18.3,122,0.115,100,0,0,60.1,194, 
ttyS3, 2021-05-18 19:03:07.015195,18.6,122.3,0.127,134.7,0.035,1742.5,4.53,31.7,122.5,0.318,18.3,121.9,0.116,100,0,0,60.1,186, 
ttyS3, 2021-05-18 19:03:08.015195,31.1,122,0.24,135.4,0.035,1741.3,4.527,32.8,122.4,0.302,18,121.9,0.12,100,0,0,60.1,0, 
ttyS3, 2021-05-18 19:03:09.015195,28.3,122.2,0.225,136.2,0.035,1739.9,4.523,31.1,122.6,0.312,18.3,121.8,0.118,100,0,0,60.1,283, 
