"Meter,","Time,","W,","V,","A,","WH,","Cost,","WH/Mo,","Cost/Mo,","Wmax,","Vmax,","Amax,","Wmin,","Vmin,","Amin,","PF,","DC,","PC,","HZ,",VA,
ttyS3, 2021-03-08 15:56:50.860399,19.3,121.9,0.126,262.9,0.021,770.2,0.616,592.6,123.3,4.968,0,115.9,0,100,0,7,60.1,0,
ttyS3, 2021-03-08 15:56:51.860399,0,122.3,0,635.3,0.05,750,0.6,81.9,125.6,1.837,0,119.1,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:56:52.860399,1.2,123.6,0,775.5,0.062,573.2,0.458,87.9,125.5,1.274,0,116.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:53.860399,0,122.5,0,890.8,0.071,479.3,0.383,84.3,126,0.841,0,119.9,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:54.860399,0,121.7,0,874.6,0.069,369.9,0.295,0,123.8,0,0,118.5,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:55.860399,0,122.6,0,1199.8,0.095,418,0.334,99.3,125.4,1.059,0,118.3,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:56:56.860399,0,124.1,0,1253.2,0.1,371.2,0.297,92,125.3,0.973,0,120,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:57.860399,0,122.4,0,1554.2,0.124,400.4,0.32,98.3,125.5,1.049,0,110.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:58.860399,0,121.1,0,1731.5,0.138,394.7,0.315,91.1,125.4,0.934,0,118.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:59.860399,0,122,0,2059.6,0.164,420.9,0.336,83.3,123.7,0.876,0,118.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:00.860399,0,124.2,0,2205.4,0.176,408.5,0.326,80.5,125.6,2.266,0,119.9,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:01.860399,0,124.3,0,2522.6,0.201,427.2,0.341,83.1,125.2,0.836,0,119.9,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:02.860399,0,122.2,0,2526.2,0.202,394.1,0.315,64.6,125.7,0.721,0,120.1,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:03.860399,0,122.5,0,2508.8,0.2,362.8,0.29,0,124.3,0,0,119.4,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:04.860399,0,123.6,0,2492.3,0.199,335.8,0.268,0,125.6,0,0,118.7,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:05.860399,0,123.6,0,2475.9,0.198,312.3,0.249,0,125.7,0,0,119.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:06.860399,1.5,123.4,0,2579.7,0.206,305.9,0.244,46.5,125.6,1.5,0,118.9,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:07.860399,21.8,122.9,0.313,2941.7,0.235,329.1,0.263,93.3,126.2,2.038,0,120,0,53,0,7,60,0, 
ttyS3, 2021-03-08 15:57:08.860399,0,121.8,0,3427.8,0.274,362.9,0.29,122.7,123.8,1.156,0,118.5,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:09.860399,13.7,123.8,0.076,4010,0.32,403,0.322,124.8,125.7,1.171,0,119.1,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:10.860399,57.7,123.1,0.615,4521.1,0.361,432.4,0.345,86.7,125.6,0.879,0,119.6,0,74,0,7,60,0, 
ttyS3, 2021-03-08 15:57:11.860399,1.7,123.4,0,4874.6,0.389,444.7,0.355,92.5,124.7,0.874,0,107.2,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:12.860399,1,121.6,0,5133.5,0.41,447.7,0.358,87.9,124.2,1.089,0,0.4,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:13.860399,0,123.8,0,5197,0.415,434,0.347,89,126.2,0.93,0,1.7,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:14.860399,21.1,123.6,0.119,5517.5,0.441,442.1,0.353,104.7,125.2,1.139,0,116.7,0,92,0,7,60,0, 
ttyS3, 2021-03-08 15:57:15.860399,0,120.5,0,5649.6,0.451,435.1,0.348,81.1,125.8,0.857,0,119.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:16.860399,1,122.2,0,5690.8,0.455,421.8,0.337,90.9,125.5,1.032,0,99.5,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:17.860399,0,121,0,5701.5,0.456,407.4,0.325,1.2,124.8,0,0,116.2,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:18.860399,1,122.7,0,5720.9,0.457,394.5,0.315,42.5,125.5,0.542,0,118.6,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:57:19.860399,1,123.6,0,5747.2,0.459,382.9,0.306,1.2,125.8,0.06,0.9,120,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:20.860399,0.8,121.9,0,2,0,40.8,0.032,10,125.8,0.175,0,118.3,0,100,0,14,60.1,0, 
ttyS3, 2021-03-08 15:57:21.860399,12.1,121.7,0.099,44.4,0.003,1125,0.9,25,126,0.274,0.8,118.2,0,100,0,15,59.9,0, 
ttyS3, 2021-03-08 15:57:22.860399,13.1,122.6,0.051,504.8,0.04,926,0.74,15.8,125.8,0.126,11.9,118.6,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:23.860399,13.7,121.4,0.056,972.9,0.077,925.9,0.74,16.3,123.6,0.128,12.4,118.8,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:24.860399,13.2,122.3,0.107,1446.7,0.115,929.4,0.743,16.8,126,0.123,12.5,117.6,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:25.860399,9.2,123.9,0,1874.4,0.149,908.9,0.727,16.4,125.7,0.128,8.5,120,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:26.860399,8.9,122.3,0,2191.3,0.175,853.3,0.682,14.5,126.6,0.112,8.4,119.3,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:27.860399,8.6,120.9,0,2508.5,0.2,816.1,0.652,14.4,125.6,0.117,8.4,117.5,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:28.860399,13.5,121.8,0.056,2953.6,0.236,825.2,0.66,16.3,123.5,0.13,8.5,117.5,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:29.860399,9.2,124.3,0,3397.2,0.271,831.6,0.665,16.3,125.7,0.128,8.4,120.2,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:30.860399,8.8,122.4,0,3760.6,0.3,819.2,0.655,14.6,125.7,0.117,8.4,118.2,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:31.860399,8.6,123.4,0,4076.7,0.326,799.9,0.639,15,126.4,0.12,8.4,120.3,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:32.860399,13.4,122.9,0.053,4503.4,0.36,803.9,0.643,16.7,125.3,0.128,8.4,100.1,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:33.860399,14.4,123.6,0.051,4992.3,0.399,817.3,0.653,16.3,125.8,0.122,12.7,117.7,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:34.860399,14.8,124.4,0.053,5467.6,0.437,826.7,0.661,51.9,125.6,2.649,0,119.2,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:35.860399,14.8,123,0.065,5982.1,0.478,840.3,0.672,16.7,125.5,0.132,13.4,119.5,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:36.860399,14.9,122.8,0.066,6505.3,0.52,853.2,0.682,17,125.8,0.099,14.2,119.9,0.055,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:37.860399,0,121.2,0,6533,0.522,803.5,0.642,56.7,123.6,0.848,0,117.8,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:38.860399,0,124.4,0,6517,0.521,754.6,0.603,0,125.7,0,0,118.1,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:39.860399,0,123.7,0,6729.4,0.538,736.1,0.588,28.8,125.9,0.539,0,119.4,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:40.860399,18.3,124.2,0.271,6733,0.538,697.9,0.558,29.1,126.1,0.546,0,113.4,0,40,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:41.860399,0,122,0,6921.8,0.553,681.7,0.545,28.8,125.5,0.489,0,117.3,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:42.860399,0,123.4,0,6978.3,0.558,654.7,0.523,28.9,126,0.441,0,117.1,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:43.860399,0,123.5,0,6963.5,0.557,623.7,0.498,0,125.8,0,0,117.8,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:44.860399,0,124.1,0,6944.1,0.555,595,0.476,0,126,0,0,119.7,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:45.860399,0,123.7,0,7132.7,0.57,585.8,0.468,29.8,125.4,0.549,0,120.2,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:46.860399,0,121,0,7189,0.575,566.8,0.453,28.9,124,0.461,0,118.1,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:47.860399,0,121.2,0,7388.6,0.591,560.2,0.448,29.4,125.5,0.544,0,110.3,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:48.860399,16.8,123.3,0.34,7752,0.62,566.1,0.452,31.7,125.9,0.602,0,118.1,0,45,0,15,59.9,0, 
ttyS3, 2021-03-08 15:57:49.860399,0,122.2,0,8188.3,0.655,576.7,0.461,29.3,126.6,0.522,0,120.3,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:50.860399,0,121,0,8349.1,0.667,567.8,0.454,32.3,125.6,0.641,0,119.8,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:51.860399,0,122.5,0,8337.3,0.666,548.1,0.438,0,123.7,0,0,117.5,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:52.860399,19.8,124,0.292,8720.2,0.697,554.8,0.443,37.2,126.2,0.62,0,120.2,0,46,0,15,60,0, 
ttyS3, 2021-03-08 15:57:53.860399,0,122.6,0,9123.9,0.729,562.4,0.449,29.1,125.9,0.557,0,99.3,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:54.860399,36.2,122.4,0.296,41.8,0.003,155.6,0.124,51.8,125.9,2.509,0,118.9,0,97,0,16,60.1,0, 
ttyS3, 2021-03-08 15:57:55.860399,22.2,121.5,0.164,391.3,0.031,750.4,0.6,60.6,124.8,0.643,0,118.4,0,100,0,18,60,0, 
ttyS3, 2021-03-08 15:57:56.860399,0,123.9,0,543.6,0.043,529.2,0.423,55,125.7,0.471,0,118.8,0,100,0,18,60.1,0, 
ttyS3, 2021-03-08 15:57:57.860399,0,124.4,0,524.6,0.041,342.2,0.273,0,125.8,0,0,120,0,100,0,18,60,0, 
ttyS3, 2021-03-08 15:57:58.860399,22.3,123.8,0.24,719.1,0.057,352.7,0.282,52.9,126.1,2.565,0,120.3,0,100,0,18,60.1,0, 
ttyS3, 2021-03-08 15:57:59.860399,0,121.6,0,951,0.076,373.8,0.299,55.7,126.1,2.577,0,119.2,0,100,0,18,60.1,0, 
ttyS3, 2021-03-08 15:58:00.860399,0,122.1,0,1053.3,0.084,345.3,0.276,49.1,123.4,2.533,0,117.5,0,100,0,18,60.1,0, 
ttyS3, 2021-03-08 15:58:01.860399,0,123.4,0,1033,0.082,290.5,0.232,0,125.6,0,0,118.6,0,100,0,18,60,0, 
ttyS3, 2021-03-08 15:58:02.860399,0,121.9,0,1031.5,0.082,253.9,0.203,49.3,125.8,2.579,0,117.9,0,100,0,18,60,0, 
ttyS3, 2021-03-08 15:58:03.860399,0,123.4,0,1201.3,0.096,263,0.21,70.9,126.2,2.507,0,118.6,0,100,0,18,59.9,0, 
ttyS3, 2021-03-08 15:58:04.860399,0,122.3,0,1377.7,0.11,271.6,0.217,55.3,124.5,2.56,0,119.1,0,100,0,18,60,0, 
ttyS3, 2021-03-08 15:58:05.860399,0,124.8,0,304.2,0.024,713.2,0.57,53.6,125.4,1.306,0,118.9,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:06.860399,0,122.2,0,285.7,0.022,306.5,0.245,0,125.8,0,0,119.7,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:07.860399,0,124.4,0,267.6,0.021,186.1,0.148,0,126.2,0,0,120.3,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:08.860399,0,122.5,0,248.4,0.019,127.8,0.102,0,127.5,0,0,119.5,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:09.860399,0,120.4,0,295.5,0.023,120.6,0.096,39.5,124.5,2.271,0,118.7,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:10.860399,0,122,0,271.6,0.021,91.9,0.073,0,125.7,0,0,118.2,0,100,0,19,60,0, 
ttyS3, 2021-03-08 15:58:11.860399,0,123.2,0,253,0.02,73.1,0.058,0,124.8,0,0,119.8,0,100,0,19,60.1,0, 
ttyS3, 2021-03-08 15:58:12.860399,0,123.2,0,231.5,0.018,58.3,0.046,0,124.2,0,0,119,0,100,0,19,60.1,0, 
ttyS3, 2021-03-08 15:58:13.860399,0,122.9,0,177.6,0.014,2811.3,2.305,582.8,124.2,6.146,0,117.2,0,100,4,20,60,0, 
ttyS3, 2021-03-08 15:58:14.860399,0,122.7,0,572.5,0.046,2131.2,1.747,630.8,124.1,33.256,0,0.3,0,100,4,21,59.9,0, 
ttyS3, 2021-03-08 15:58:15.860399,0,122.6,0,240.7,0.019,634.7,0.52,1501.8,123.6,12.769,0,113.9,0,100,0,24,60,0, 
ttyS3, 2021-03-08 15:58:16.860399,0,123.9,0,4067.4,0.333,4596.3,3.768,2236.3,125.6,19.742,0,113.1,0,100,6,24,60,0, 
ttyS3, 2021-03-08 15:58:17.860399,0,119.3,0,0,0,0,0,1414.3,125.5,12.065,0,114.9,0,100,0,25,59.9,0, 
ttyS3, 2021-03-08 15:58:18.860399,0,123.1,0,0,0,0,0,0,125.6,0,0,113.7,0,100,0,25,60.1,0, 
ttyS3, 2021-03-08 15:58:19.860399,0,121.5,0,0,0,0,0,0,125,0,0,114.5,0,100,0,25,60.1,0, 
ttyS3, 2021-03-08 15:58:20.860399,0,123.6,0,0,0,0,0,0,126,0,0,114.1,0,100,0,26,60.1,0, 
ttyS3, 2021-03-08 15:58:21.860399,0,124.9,0,0,0,0,0,0,126,0,0,115.1,0,100,0,27,60,0, 
ttyS3, 2021-03-08 15:58:22.860399,0,121.6,0,0,0,0,0,0,126.1,0,0,115.9,0,100,0,27,60.1,0, 
ttyS3, 2021-03-08 15:58:23.860399,0,121.7,0,0,0,0,0,0,123.3,0,0,114,0,100,0,27,60,0, 
ttyS3, 2021-03-08 15:58:24.860399,0,119.9,0,0,0,0,0,0,123.7,0,0,114.7,0,100,0,27,60,0, 
ttyS3, 2021-03-08 15:58:25.860399,0,124,0,0,0,0,0,0,125.9,0,0,116.2,0,100,0,28,60.1,0, 
ttyS3, 2021-03-08 15:58:26.860399,0,124.1,0,1913.5,0.156,3669.5,3.009,1441.3,125.5,12.546,0,115.8,0,100,4,29,60.1,0, 
ttyS3, 2021-03-08 15:58:27.860399,0,122.2,0,1987.9,0.163,1935.3,1.587,1297.4,125.7,10.851,0,117.2,0,100,2,29,60,0, 
ttyS3, 2021-03-08 15:58:28.860399,0,120.7,0,1981.2,0.162,1292.5,1.059,0,123.6,0,0,117.2,0,100,1,29,60,0, 
ttyS3, 2021-03-08 15:58:29.860399,0,124.2,0,1973.8,0.161,968.2,0.793,0,125.4,0,0,115.2,0,100,1,29,60,0, 
ttyS3, 2021-03-08 15:58:30.860399,0,124.3,0,1966.5,0.161,772.9,0.633,0,125.5,0,0,117.4,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:31.860399,0,121.3,0,1959.5,0.16,642.5,0.526,0,125.9,0,0,117.3,0,100,0,29,60.1,0, 
ttyS3, 2021-03-08 15:58:32.860399,0,120.8,0,2156.8,0.176,606.6,0.497,1269.2,125.6,10.697,0,118.8,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:33.860399,0,122.2,0,2396.4,0.196,590,0.483,1364.5,123.3,12.04,0,115.3,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:34.860399,0,123.9,0,2390.1,0.195,523.3,0.429,0,125.6,0,0,119.5,0,100,0,29,60.1,0, 
ttyS3, 2021-03-08 15:58:35.860399,0,121.5,0,2381,0.195,469.4,0.384,0,126,0,0,115.2,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:36.860399,0,124,0,2373.4,0.194,425.4,0.348,0,125.8,0,0,119.2,0,100,0,29,59.9,0, 
ttyS3, 2021-03-08 15:58:37.860399,0,122,0,2363.2,0.193,388.4,0.318,0,125.5,0,0,116.2,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:38.860399,0,124.5,0,2355.3,0.193,357.4,0.293,18.3,126.1,0.835,0,119.8,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:39.860399,0,122.4,0,2344.9,0.192,330.4,0.271,0,125.9,0,0,116.3,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:40.860399,0,124.2,0,2335.5,0.191,307.2,0.251,0,125.8,0,0,119.5,0,100,0,29,59.9,0, 
ttyS3, 2021-03-08 15:58:41.860399,0,122.6,0,2324.4,0.19,286.7,0.235,0,125.4,0,0,119.6,0,100,0,29,60,0, 
ttyS3, 2021-03-08 15:58:42.860399,11.1,122.3,0.119,177.3,0.014,1603.9,1.315,1206.6,123.9,10.061,0,113.2,0,83,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:43.860399,2.2,122.8,0,509.7,0.041,827.1,0.678,70.3,123.8,1.37,1.1,118.1,0,100,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:44.860399,35.4,122.7,0.507,706.4,0.057,629.6,0.516,38.3,123.9,0.639,0.9,112.6,0,52,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:45.860399,9.8,121.9,0.142,927.3,0.076,569.7,0.467,62.6,124.1,1.602,0.7,118.4,0,85,0,34,60,0, 
ttyS3, 2021-03-08 15:58:46.860399,23.8,122.4,0.314,1269.2,0.104,594.9,0.487,49.7,123.9,0.774,0.7,119.6,0,61,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:47.860399,11.1,122.6,0.108,1729.1,0.141,655.2,0.537,102.4,123.4,0.984,1,120.3,0,62,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:48.860399,15.6,122.2,0.338,1993.7,0.163,634,0.519,41.8,124.2,0.712,0.9,118.2,0,65,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:49.860399,1,123.3,0,2161.4,0.177,592.1,0.485,40.8,124,0.686,0.7,120.2,0,100,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:50.860399,7.5,122.4,0.061,2396.7,0.196,576.6,0.472,41.2,124.2,0.674,0.7,109.7,0,100,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:51.860399,10.9,121.4,0.077,2710.1,0.222,581.3,0.476,48.3,124,0.736,1,120.1,0,80,0,34,60,0, 
ttyS3, 2021-03-08 15:58:52.860399,0.9,122.7,0,2872,0.235,555.8,0.455,34.2,123.6,0.589,0.8,117.3,0,100,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:53.860399,0.8,122.8,0,2890.3,0.237,509.4,0.417,0.9,124.6,0.078,0.7,120.4,0,100,0,34,60,0, 
ttyS3, 2021-03-08 15:58:54.860399,0.9,122.8,0,2933.6,0.24,474.7,0.389,8.2,123.9,0.133,0.7,120.6,0,100,0,34,60,0, 
ttyS3, 2021-03-08 15:58:55.860399,15.1,122.3,0.121,3068.5,0.251,459,0.376,88.2,124.3,0.777,0.8,120.6,0,98,0,34,60.1,0, 
ttyS3, 2021-03-08 15:58:56.860399,8.6,122.5,0.068,3330.6,0.273,463.2,0.379,80.1,123.7,0.713,0.8,116.6,0,100,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:57.860399,11.4,121.9,0.121,3684.7,0.302,478.8,0.392,80.9,124,2.074,1,115,0,89,0,34,60,0, 
ttyS3, 2021-03-08 15:58:58.860399,11.3,122.3,0.111,3962.3,0.324,483.1,0.396,37.6,126.9,0.719,1.1,119,0,84,0,34,59.9,0, 
ttyS3, 2021-03-08 15:58:59.860399,17.3,121.9,0.142,4377.1,0.358,502.7,0.412,91.1,124.2,0.81,0.7,119.9,0,82,0,34,60,0, 
ttyS3, 2021-03-08 15:59:00.860399,1.3,122.7,0,4579.3,0.375,497,0.407,47.8,124,0.613,1,117.8,0,100,0,34,60,0, 
ttyS3, 2021-03-08 15:59:01.860399,24.8,119,0.284,4891.2,0.401,503.2,0.412,39.7,123.3,0.598,0.9,115.7,0,64,0,34,60,0, 
ttyS3, 2021-03-08 15:59:02.860399,1.2,122.4,0,5117.2,0.419,500.5,0.41,43.7,124.5,0.748,0.9,116.3,0,100,0,34,60,0, 
ttyS3, 2021-03-08 15:59:03.860399,9.5,121.8,0.082,5504.4,0.451,513,0.42,92.1,125.5,0.832,0.8,110.5,0,86,0,34,60,0, 
ttyS3, 2021-03-08 15:59:04.860399,1.2,122.3,0,5751.8,0.471,511.9,0.419,40.4,124.1,0.688,0.9,120.6,0,100,0,34,60,0, 
ttyS3, 2021-03-08 15:59:05.860399,10.6,121.2,0.243,6309.8,0.517,537.4,0.44,90.1,124.2,0.95,1.2,107.2,0,80,0,34,60.1,0, 
ttyS3, 2021-03-08 15:59:06.860399,14.1,123.6,0.255,6800.2,0.557,555.2,0.455,79.9,124,0.797,1,118.2,0,81,0,34,60,0, 
ttyS3, 2021-03-08 15:59:07.860399,16.8,122.4,0.137,7085.7,0.581,555.6,0.455,45.5,124.9,0.795,0.8,118.1,0,64,0,34,60,0, 
ttyS3, 2021-03-08 15:59:08.860399,13.3,123.1,0.192,278.3,0.022,734,0.601,85.9,126.1,0.903,0.7,120.5,0,44,0,35,60,0, 
ttyS3, 2021-03-08 15:59:09.860399,9.4,121.4,0.059,709.4,0.058,801.7,0.657,78.6,124.5,1.012,1.8,120.2,0,67,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:10.860399,20.9,120.8,0.301,1201.4,0.098,864,0.708,76.3,123.3,0.826,1,117.8,0,75,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:11.860399,11.3,122,0.358,1485.4,0.121,783.3,0.642,63.5,124.1,0.794,0,118.4,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:12.860399,10.2,120.6,0.087,1710.1,0.14,711.9,0.583,33.6,124,0.638,0,112.7,0,92,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:13.860399,34,122.2,0.408,2019,0.165,694.3,0.569,104.3,124.3,1.605,0,116.8,0,61,0,35,60,0, 
ttyS3, 2021-03-08 15:59:14.860399,10.2,121.9,0.092,2635.5,0.216,772.1,0.633,109.4,124,1.447,0.7,116.8,0,67,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:15.860399,0.7,123.2,0,2797.2,0.229,713.7,0.585,33.6,124.3,0.687,0,118.9,0,100,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:16.860399,17.5,121.8,0.3,2956,0.242,668,0.547,39.2,124.1,0.716,0,119.3,0,71,0,35,60,0, 
ttyS3, 2021-03-08 15:59:17.860399,0.7,121,0,3146.7,0.258,638.2,0.523,41.2,124.2,0.646,0,120.6,0,100,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:18.860399,15,122.7,0.162,3322.2,0.272,611.1,0.501,78.2,123.8,1.424,0,118.6,0,44,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:19.860399,1,121.1,0,3577.8,0.293,602.1,0.493,37.6,124.6,0.728,0.7,117.6,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:20.860399,0.8,121.8,0,3771.2,0.309,584.9,0.479,34.4,123.8,0.604,0.6,116.7,0,100,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:21.860399,1,121.7,0,3884.6,0.318,558.6,0.458,37.2,124.2,0.672,0.7,120.3,0,100,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:22.860399,0.8,122.6,0,4138.1,0.339,554.8,0.454,83.9,123.9,0.838,0.7,120.3,0,100,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:23.860399,0.7,121,0,4340.5,0.355,544.9,0.446,39.1,124.3,0.651,0.7,120.5,0,100,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:24.860399,0.9,122.7,0,4585.4,0.376,541.3,0.443,42.1,123.5,0.665,0.6,118.4,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:25.860399,0.8,121.5,0,4839.9,0.396,539.2,0.442,38.4,124.3,0.613,0.7,116.9,0,100,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:26.860399,0.8,123,0,5003,0.41,527.6,0.432,33,128.2,0.706,0.7,119.6,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:27.860399,0.8,122.1,0,5147.1,0.422,515.3,0.422,45.9,125.1,0.846,0.7,120.4,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:28.860399,4.1,121.9,0,5398.1,0.442,514.4,0.421,55.3,124.3,0.846,0.7,118.6,0,100,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:29.860399,0.9,122.4,0,5560.8,0.455,505.5,0.414,46.8,124.3,0.869,0.8,118,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:30.860399,1.2,122.4,0,5739.5,0.47,498.9,0.409,55,124.5,1.86,0.8,120.7,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:31.860399,0.9,121.7,0,5880.7,0.482,489.6,0.401,55.3,124.3,0.913,0.8,119,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:32.860399,1.3,122.9,0,6344,0.52,506.8,0.415,107.4,124.4,1.917,0,118.5,0,100,0,35,59.9,0, 
ttyS3, 2021-03-08 15:59:33.860399,20.9,123.7,0.343,6636,0.544,509.6,0.417,55.2,124.7,0.91,0.9,117.8,0,47,0,35,60,0, 
ttyS3, 2021-03-08 15:59:34.860399,2.7,123.5,0,6847.8,0.561,506.2,0.415,54.4,124,0.918,0.9,117.3,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:35.860399,18.2,123.4,0.199,7108.5,0.582,506.5,0.415,62.5,124.3,0.973,1,115.1,0,71,0,35,60,0, 
ttyS3, 2021-03-08 15:59:36.860399,21.1,123.4,0.261,7382,0.605,507.7,0.416,64.2,124.1,1.868,1.1,120.1,0,42,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:37.860399,12.9,122.7,0.145,7782.1,0.638,517.2,0.424,88.1,124.5,1.457,0.9,119.9,0,74,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:38.860399,13.8,123.2,0.162,8131.5,0.666,522.9,0.428,52,123.6,0.898,0.9,118,0,58,0,35,60,0, 
ttyS3, 2021-03-08 15:59:39.860399,13.3,122.5,0.127,8327.3,0.682,518.6,0.425,81.1,124.2,1.013,0.9,119.7,0,69,0,35,60.1,0, 
ttyS3, 2021-03-08 15:59:40.860399,0.8,122.6,0,8537.3,0.7,515.5,0.422,53.3,124.5,0.911,0.7,117.8,0,100,0,35,60,0, 
ttyS3, 2021-03-08 15:59:41.860399,13,124.4,0.193,8719.6,0.715,510.9,0.418,57.8,125.4,0.902,0.7,113.6,0,56,0,35,60,0, 
